City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Golspie,GB,57.9727,-3.978,57.96,87,100,6.6,overcast clouds
149,Mount Isa,AU,-20.7333,139.5,62.71,15,12,10.4,few clouds
150,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,38,12.68,scattered clouds
151,Concordia,AR,-31.393,-58.0209,68.92,58,93,8.59,overcast clouds
152,Fairbanks,US,64.8378,-147.7164,36.1,63,75,2.3,broken clouds
153,Tongchuan,CN,35.0806,109.0897,64.98,92,100,2.55,light rain
154,Codrington,AU,-38.2667,141.9667,52.88,86,95,17.83,overcast clouds
155,Porto-Vecchio,FR,41.591,9.2795,71.06,77,0,8.05,clear sky
156,Faanui,PF,-16.4833,-151.75,78.03,69,12,9.95,few clouds
157,Poum,NC,-20.2333,164.0167,68.02,67,31,11.7,scattered clouds
158,Moranbah,AU,-22.0016,148.0466,55.24,82,0,6.67,clear sky
159,Wageningen,NL,51.9667,5.6667,62.19,90,37,6.87,scattered clouds
160,Alekseyevsk,RU,57.8406,108.3492,35.28,79,10,2.26,clear sky
161,Quelimane,MZ,-17.8786,36.8883,71.55,83,40,3.44,scattered clouds
162,Port Hedland,AU,-20.3167,118.5667,60.85,72,16,0.0,few clouds
163,Ribeira Grande,PT,38.5167,-28.7,72.0,68,20,13.8,few clouds
164,Witham,GB,51.8001,0.6404,65.32,87,7,5.79,clear sky
165,Leh,IN,34.1667,77.5833,55.51,47,30,5.06,scattered clouds
166,Aklavik,CA,68.2191,-135.0107,34.52,83,82,5.5,broken clouds
167,Yulara,AU,-25.2406,130.9889,44.44,49,0,3.44,clear sky
168,Bathsheba,BB,13.2167,-59.5167,90.21,58,20,10.36,few clouds
169,Erenhot,CN,43.6475,111.9767,62.69,62,55,6.55,broken clouds
170,Carutapera,BR,-1.195,-46.02,85.39,61,49,8.86,scattered clouds
171,Lukaya,UG,-0.1489,31.8748,67.62,78,9,0.22,clear sky
172,Bethel,US,41.3712,-73.414,79.66,82,90,1.99,overcast clouds
173,Berdigestyakh,RU,62.0989,126.6992,40.48,97,100,3.83,overcast clouds
174,Torbay,CA,47.6666,-52.7314,71.49,74,40,0.0,scattered clouds
175,Pacific Grove,US,36.6177,-121.9166,88.14,82,1,1.01,clear sky
176,Obo,CF,5.3998,26.4869,67.6,93,100,2.8,light rain
177,Afua,BR,-0.1567,-50.3867,90.14,51,99,9.69,overcast clouds
178,Henties Bay,NA,-22.116,14.2845,56.86,81,0,6.49,clear sky
179,Lebu,CL,-37.6167,-73.65,56.79,66,6,12.97,clear sky
180,Coatepec Harinas,MX,18.8949,-99.7215,69.71,62,41,5.21,scattered clouds
181,Sinegorye,RU,62.0788,150.477,34.43,82,10,1.5,clear sky
182,Dovolnoye,RU,54.4958,79.6671,31.05,93,10,6.02,clear sky
183,Paita,PE,-5.0892,-81.1144,72.36,70,20,15.59,few clouds
184,Ashland,US,40.8167,-82.2665,52.52,96,100,15.64,overcast clouds
185,Qandala,SO,11.472,49.8728,90.37,54,18,6.04,few clouds
186,Kotelniki,RU,55.6355,37.8445,48.22,91,100,3.09,light rain
187,Mende,FR,44.6667,3.5,50.23,80,95,0.69,overcast clouds
188,Severo-Kurilsk,RU,50.6789,156.125,48.38,92,100,25.19,light rain
189,Thinadhoo,MV,0.5333,72.9333,82.63,78,100,20.6,overcast clouds
190,Berlevag,NO,70.8578,29.0864,46.4,65,0,5.75,clear sky
191,Batemans Bay,AU,-35.7167,150.1833,57.2,81,16,4.05,few clouds
192,Srednekolymsk,RU,67.45,153.6833,34.34,87,100,5.41,overcast clouds
193,Zhuanghe,CN,39.7008,122.9911,59.41,84,100,2.95,light rain
194,Constitucion,CL,-35.3333,-72.4167,63.59,56,100,15.5,overcast clouds
195,Taoudenni,ML,22.6783,-3.9836,102.67,8,0,8.08,clear sky
196,Kieta,PG,-6.2167,155.6333,76.86,83,100,3.8,overcast clouds
197,Antalaha,MG,-14.9003,50.2788,68.14,83,1,8.16,clear sky
198,Cap Malheureux,MU,-19.9842,57.6142,73.89,77,42,7.0,scattered clouds
199,Zhigansk,RU,66.7697,123.3711,38.77,81,77,0.76,broken clouds
200,Ixtapa,MX,20.7,-105.2,90.23,66,1,6.91,clear sky
201,Trzcianka,PL,53.0406,16.4563,60.33,77,100,24.92,light rain
202,Ust-Tsilma,RU,65.441,52.1498,38.95,88,87,4.76,overcast clouds
203,Yokadouma,CM,3.5167,15.05,70.03,98,100,3.27,light rain
204,Clyde River,CA,70.4692,-68.5914,32.23,80,75,21.85,broken clouds
205,Vizinga,RU,61.0749,50.1031,46.27,78,100,5.86,overcast clouds
206,Virginia Beach,US,36.8529,-75.978,69.84,94,100,7.85,overcast clouds
207,Hammerfest,NO,70.6634,23.6821,49.73,76,75,16.11,broken clouds
208,Pathein,MM,16.7833,94.7333,75.27,97,100,3.89,overcast clouds
209,Port Blair,IN,11.6667,92.75,80.04,80,100,10.49,overcast clouds
210,Kulhudhuffushi,MV,6.6221,73.07,82.89,77,15,17.56,few clouds
211,Kathmandu,NP,27.7167,85.3167,70.02,94,75,3.44,broken clouds
